Store,Description,Telephone,Hours
/store-directory/dbs/,"DBS is a leading financial services group in Asia, with over 280 branches across 17 markets. Headquartered and listed in Singapore, DBS has a growing presence in the three key Asian axes of growth: Greater China, Southeast Asia and South Asia. The bank's capital position, as well as ""AA-"" and ""Aa1"" credit ratings, is among the highest in Asia-Pacific. DBS has been recognised for its leadership in the region, having been named “Asia’s Best Bank” by The Banker, a member of the Financial Times group, and “Best Bank in Asia-Pacific” by Global Finance. The bank has also been named “Safest Bank in Asia” by Global Finance for six consecutive years from 2009 to 2014.

With its extensive network of operations in Asia and emphasis on engaging and empowering its staff, DBS presents exciting career opportunities. The bank acknowledges the passion, commitment and can-do spirit in all of our 21,000 staff, representing over 40 nationalities. For more information, please visit

http://www.dbs.com.sg/",1800 111 1111,"Monday: 10am - 6pm
Tuesday: 10am - 6pm
Wednesday: 10am - 6pm
Thursday: 10am - 6pm
Friday: 10am - 6pm
Saturday: 10am - 2:30pm
Sunday: Closed
"
/store-directory/dental-icon/,"We are proud to provide quality dental care to our patients. Our featured services are general dentistry, children dentistry, cosmetic dentistry, teeth whitening, dental implants and much more. Your overall health is our number one priority. That is why we would never use anything that can be harmful to your body. Our fillings do not contain any mercury. Our x-ray system is digitized and uses the lowest possible radiation exposure. All our materials and equipments are made in Germany, Japan, or United States. You have given us your trust. Now let us use our dedicated service to give you a comfortable treatment and perfect dental health.

Visit us:

http://www.dentalicon.org",64412345,"Monday: 10am - 7pm
Tuesday: 10am - 7pm
Wednesday: Closed
Thursday: 10am - 7pm
Friday: 10am - 7pm
Saturday: 10am - 7pm
Sunday: Closed
"
/store-directory/dian-xiao-er/,"Dian Xiao Er, the must eat herbal roast duck in Singapore! Using only the finest quality of Cherry Valley ducks paired with freshest ingredients, our duck are prepared and freshly roast daily. They are marinated with a revitalising blend of Chinese herbs and spices for hours, roasted at a precise temperature to retain its juice while in the oven. Crisp to the touch, and golden brown in appearance, our herbal roast duck is complemented with our specially concocted herbal sauce that makes it impossible to resist!",NIL,"Monday: 11am - 9:30pm
Tuesday: 11am - 9:30pm
Wednesday: 11am - 9:30pm
Thursday: 11am - 9:30pm
Friday: 11am - 10pm
Saturday: 11am - 10pm
Sunday: 11am - 10pm
"
/store-directory/din-tai-fung/,"Ranked as one of the world’s Top Ten Best Restaurants by the New York Times, Din Tai Fung has its roots dating back to Taiwan more than 60 years ago. Today, it has reached a wide global consumer base in many countries.

Savour classic signature dishes like the Xiao Long Bao (Steamed Pork Dumplings) and their award-winning Fried Rice. Utilizing fresh premium ingredients paired with a relish for simple cooking styles, the recipe selection is never too rich or heavy on the palate. From meticulous preparation to skilful cooking techniques, the dishes at Din Tai Fung never fail to leave one coming back for more.",6345 7077,"Monday: 11am - 9:30pm
Tuesday: 11am - 9:30pm
Wednesday: 11am - 9:30pm
Thursday: 11am - 9:30pm
Friday: 11:30am - 10pm
Saturday: 11:30am - 10pm
Sunday: 11am - 9:30pm
"
/store-directory/dunlopillo/,"Dunlopillo, with 89 years of solid innovations and achievements, is one of the world's best loved bedding brands and the leading manufacturer of latex, dedicated to providing high-quality sleep and comfort solutions to all our customers. Through the years, we have given millions of customers around the world the peace of mind that their bedrooms are their personal haven for celebrating special moments.", 6243 7358,"Monday: 11:30am - 8:30pm
Tuesday: 11:30am - 8:30pm
Wednesday: 11:30am - 8:30pm
Thursday: 11:30am - 8:30pm
Friday: 11:30am - 8:30pm
Saturday: 11:30am - 8:30pm
Sunday: 11:30am - 8:30pm
"
/store-directory/Dyson/,"From ground-breaking Dyson vacuum cleaners, Dyson air purifiers to Dyson hair care machines, the technology at the core of Dyson machines have been developed through years of hard work, investment and inventive thinking. Dyson's advanced technology now exists in homes all around the world. Discover the Dyson range in store.",NIL,"Monday: 10am - 10pm
Tuesday: 10am - 10pm
Wednesday: 10am - 10pm
Thursday: 10am - 10pm
Friday: 10am - 10pm
Saturday: 10am - 10pm
Sunday: 10am - 10pm
"
/store-directory/eco-ring/,"At EcoRing Singapore, the last thing we want is for you to throw your pre-loved luxury pieces away. Designer bags, watches, jewellery, apparel, accessories, etc... we'll buy them from you regardless of the condition.

If you have something branded that you're looking to let go of, bring them down for a free quotation or sell to us for immediate cash payment today!",6732 1508,"Monday: 10am - 7pm
Tuesday: 10am - 7pm
Wednesday: Closed
Thursday: 10pm - 7pm
Friday: 10am - 7pm
Saturday: 10am - 7pm
Sunday: 10am - 7pm
"
/store-directory/elm-tree/,"Elm Tree provides early learning resources that cultivate children's vital life skills and develop creativity. Elm Tree's early learning materials include children’s activity books, educational toys, posters, puzzles, sound & game books and CDs.",63868891,"Monday: 11am - 9pm
Tuesday: 11am - 9pm
Wednesday: 11am - 9pm
Thursday: 11am - 9pm
Friday: 11am - 9pm
Saturday: 10:30am - 8:30pm
Sunday: 10:30am - 8:30pm
"
/store-directory/emperor-optics/,Emperor Optics was established since 1986. We have an extensive display of trendy & fashionable spectacles in line with the latest design. In addition we also provide professional eye-care services by qualified & experienced optometrists & opticians.,6447 3780,"Monday: 11am - 9pm
Tuesday: 11am - 9pm
Wednesday: 11am - 9pm
Thursday: 11am - 9pm
Friday: 11am - 9pm
Saturday: 11am - 9pm
Sunday: 11am - 9pm
"
/store-directory/epitex/,"Inspiring comfort, with a single-minded dedication to bring exceptional comfort in every thread, every fabric, to every home. With a wide collection of quality bed sheets, bed linens and pillows, Epitex constantly unfold dimensions of cosy, to suit every kind of sleeper and daydreamer.",62821939,"Monday: 11am - 10pm
Tuesday: 11am - 10pm
Wednesday: 11am - 10pm
Thursday: 11am - 10pm
Friday: 11am - 10pm
Saturday: 11am - 10pm
Sunday: 11am - 10pm
"
/store-directory/eu-yan-sang/,"Founded in 1879, Eu Yan Sang is Asia's leading brand in the healthcare industry, with a core focus in traditional Chinese medicine. In line with the company's mission of "" Caring for Mankind"", Eu Yan Sang prides itself in providing quality products and services over the past 135 years. The company's ability to control the total chain supply - from the sourcing of its raw materials to the production and distribution of its products ensures that only the best is delivered to the customers. The products offered include a wide selection of fine quality Chinese herbs, Chinese Proprietary medicines as well as health foods and supplements. Our top-selling bottled bird's nest and flagshop Bak Foong Pills are among the most popular. Eu Yan Sang's continuous commitment to expand the reach and benefits of its products and services towards lifelong good health for all has seen it span across Singapore with more than 45 retail outlets in major shopping malls and residential estates today.",6344 1095,"Monday: 10am - 10pm
Tuesday: 10am - 10pm
Wednesday: 10am - 10pm
Thursday: 10am - 10pm
Friday: 10am - 10pm
Saturday: 10am - 10pm
Sunday: 10am - 10pm
"
/store-directory/evergreen-stationery/,"Evergreen Group Pte Ltd was registered in Singapore in 1973.  The company is in the business of OFFICE STATIONERY & SUPPLIES in retailing, office supplies and wholesale.  It operates 9 Evergreen Stationery retail stores in Singapore.

The company has secured sole distributorship, reseller and agency rights for renowned brands from stationery & equipment manufacturers and distributors all over the world. And just to name a few: WATERSOURCE, APLI, BANTEX, BROTHER, HEWLETT PACKARD, 3M, CROSS, FABER CASTELL, PARKER, PILOT, STAEDTLER, UNI Mitsubishi, SANDISK, LOGITECH, STRONTIUM, ACCO, BIOSYSTEM and many more.",63458173,"Monday: 10:30am - 9pm
Tuesday: 10:30am - 9pm
Wednesday: 10:30am - 9pm
Thursday: 10:30am - 9pm
Friday: 10:30am - 9pm
Saturday: 10:30am - 9pm
Sunday: 10:30am - 9pm
"
/store-directory/fairprice-xtra/,"Come to FairPrice Xtra hypermarket for a one-stop shopping destination for the family!

We have everything from local farm-fresh produce to international deli, groceries, apparel and electronics.

That’s not all. Check out our cooking service, ready-to-eat bentos, daily roasted coffee beans and delightful gelato, all available right here at FairPrice Xtra.",62446682,"Monday: 8am - 11pm
Tuesday: 8am - 11pm
Wednesday: 8am - 11pm
Thursday: 8am - 11pm
Friday: 8am - 11pm
Saturday: 8am - 11pm
Sunday: 8am - 11pm
"
/store-directory/famous-amos/,"Serving fresh baked cookies in Singapore since 1983, Famous Amos cookies are made from the finest ingredients and freshly baked all day long. We offer a wide variety of flavours in both our signature bite size “Crunchy” as well as our large “Soft N Chewy” cookie. To compliment our cookies, we also serve freshly baked Muffins and Brownies.

Our wide range of gifts has been selected to suit all needs and all occasions. Our cookie store is truly a one-stop gift shop for someone looking for that unique gift that says it all!",6344 1701,"Monday: 11am - 9:30pm
Tuesday: 11am - 9:30pm
Wednesday: 11am - 9:30pm
Thursday: 11am - 9:30pm
Friday: 11am - 9:30pm
Saturday: 11am - 9:30pm
Sunday: 11am - 9:30pm
"
/store-directory/fish-mart-sakuraya/,"Fish Mart Sakuraya is a ""Japanese One-Stop Centre"" which has been in Singapore for more than 27 years.",6345 4714,"Monday: 10:30am - 10pm
Tuesday: 10:30am - 10pm
Wednesday: 10:30am - 10pm
Thursday: 10:30am - 10pm
Friday: 10:30am - 10pm
Saturday: 10:30am - 10pm
Sunday: 10:30am - 10pm
"
/store-directory/food-republic/,"With its strategic location at the traffic-heavy family mall, Food Republic has 28 stalls offering the best of hawker cuisines and multi-cultural food to residents and tourists in the vicinity. The atmosphere at Food Republic Parkway Parade also sets an inviting spirit for everyone to enjoy their dining pleasures.

A Mediterranean design concept completes the tranquil coastal holiday feel, filling the food atrium with relaxing washes of white and blue and sand-grained walls. The various food stalls offers a wide variety of local favourites and other cuisines that awaits to fulfil diners' cravings. Food Republic Parkway Parade aims to bring everyone an enjoyable coastal dining experience!",6440 4207,"Monday: 10am - 10pm
Tuesday: 10am - 10pm
Wednesday: 10am - 10pm
Thursday: 10am - 10pm
Friday: 10am - 10pm
Saturday: 10am - 10pm
Sunday: 10am - 10pm
"
/store-directory/fortune-wigs/,"Fortune Wigs, Japan's Leading Hair Wig Company carry Full Wigs and Top Pieces for full and partial coverage for Fashion, Patient, Grey hair and Less hair.",6447 0168,"Monday: 11am - 9pm
Tuesday: 11am - 9pm
Wednesday: 11am - 9pm
Thursday: 11am - 9pm
Friday: 11am - 9pm
Saturday: 11am - 9pm
Sunday: 11am - 9pm
"
/store-directory/four-leaves/,"Established since 1981, Four Leaves has developed into one of the leading chain bakery in Singapore.

Each and every one of our products is handmade by our bakers using the finest ingredients, displaying our PASSION for good baking. A good CHOICE of bakery products awaits you as you step into our bakery. With our wealth of experience and a firmly established reputation, you can TRUST us to bring you our best!

Four Leaves… It’s all about PASSION, CHOICE & TRUST.",6447 1805,"Monday: 9am - 9pm
Tuesday: 9am - 9pm
Wednesday: 9am - 9pm
Thursday: 9am - 9pm
Friday: 9am - 9pm
Saturday: 9am - 9pm
Sunday: 9am - 9pm
"
/store-directory/fun-toast/,"Bringing back the traditional Nanyang Coffeehouse nostalgia, Fun Toast serves well-brewed fragrant local Coffee and Tea, deliciously fresh Yuan Yang Soft Bun, Ham & Cheese French Toast and many more. Give their homemade signature Soya Sauce Chicken a try too. It will definitely keep you coming back for more. Check out their new range of merchandise as well; not to be missed!",NIL,"Monday: 8am - 8:30pm
Tuesday: 8am - 8:30pm
Wednesday: 8am - 8:30pm
Thursday: 8am - 8:30pm
Friday: 8am - 8:30pm
Saturday: 8am - 8:30pm
Sunday: 8am - 8:30pm
"
/store-directory/g2000/,"G2000 is the savvy executive’s choice, with a sharper, cleaner cut that takes business to a personal level. It flaunts a versatile range of work wear that offers a balance of tailored elegance and sharp style, as well as smart essentials that are comfortably affordable.",63445076,"Monday: 10am - 9pm
Tuesday: 10am - 9pm
Wednesday: 10am - 9pm
Thursday: 10am - 9pm
Friday: 10:30am - 9:30pm
Saturday: 10:30am - 9:30pm
Sunday: 10am - 9pm
"
/store-directory/gadget-solution/,"Gadget Solution - buy.sell.trade

Providing repair services and trade-in services for all your phones!

Gadget Solution - buy.sell.trade

Providing repair services and trade-in services for all your phones!

Gadget Solution - buy.sell.trade

Providing repair services and trade-in services for all your phones!

Gadget Solution - buy.sell.trade

Providing repair services and trade-in services for all your phones!

Gadget Solution - buy.sell.trade

Providing repair services and trade-in services for all your phones!",9652 3665,"Monday: 11:30am - 9pm
Tuesday: 11:30am - 9pm
Wednesday: 11:30am - 9pm
Thursday: 11:30am - 9pm
Friday: 11:30am - 9pm
Saturday: 11:30am - 9pm
Sunday: 11:30am - 9pm
"
/store-directory/gadget-top/,"Give your mobile phone a makeover with the latest affordable accessories such as covers, screen protectors, portable chargers and more! Gadget Top also provides a variety of competitively priced gadgets such as waterproof digital camera, blue-tooth headsets, car accessories and even humidifiers.",6954 3983 ,"Monday: 11am - 9pm
Tuesday: 11am - 9pm
Wednesday: 11am - 9pm
Thursday: 11am - 9pm
Friday: 11am - 9:30pm
Saturday: 11am - 9:30pm
Sunday: 11am - 9:30pm
"
/store-directory/gg5/,"Narrowing (<) the generation gap (GG) is the philosophy behind GG<5.

Established in 1997, GG<5 is a contemporary fashion brand built upon confident individuals that explore dressing as an everyday experience, both ordinary & imaginative.",63445076,"Monday: 10:30am - 9:30pm
Tuesday: 10:30am - 9:30pm
Wednesday: 10:30am - 9:30pm
Thursday: 10:30am - 9:30pm
Friday: 10:30am - 9:30pm
Saturday: 10:30am - 9:30pm
Sunday: 10:30am - 9:30pm
"
/store-directory/godmama-peranakan/,"Offering a contemporary setting with both indoor and alfresco dining options, Godmama delivers both authentic Nyonya cuisine and innovative Peranakan food creations in a vibrant atmosphere.",6320 3994,"Monday: 10am - 10pm
Tuesday: 10am - 10pm
Wednesday: 10am - 10pm
Thursday: 10am - 10pm
Friday: 10am - 10pm
Saturday: 10am - 10pm
Sunday: 10am - 10pm
"
/store-directory/goldheart/,"At the helm of innovative jewellery designs and brilliant craftsmanship, Goldheart Jewelry possesses a distinguished heritage for being the first wedding jeweller in Singapore to introduce the concept of wedding bands for romancing couples and couples-to-be. They are also the exclusive distributor of Celestial® diamond, the world's first 73-facet starburst diamond that scintillates with the supreme luminosity of the brightest star.",6258 5264,"Monday: 11am - 9:30pm
Tuesday: 11am - 9:30pm
Wednesday: 11am - 9:30pm
Thursday: 11am - 9:30pm
Friday: 11am - 9:30pm
Saturday: 11am - 9:30pm
Sunday: 11am - 9:30pm
"
/store-directory/guardian-health-and-beauty/,"Guardian Health & Beauty is the leading health and beauty chain in Singapore since 1972. With 150 stores island-wide, Guardian Health & Beauty operates the nation’s biggest chain of pharmacies and retails a comprehensive range of health & beauty products.

Guardian has evolved from its pharmacy roots into a holistic one-stop solution for consumers' healthy and beauty needs. Professional services such as patient-care counselling, dispensary services, beauty and personal care solutions are offered at all stores as a convenient one-stop for health and beauty. We continue to build on our rich healthcare heritage with an award-winning team of pharmacists who have consistently won multiple pharmacist awards every year.",6344 2102,"Monday: 10am - 10pm
Tuesday: 10am - 10pm
Wednesday: 10am - 10pm
Thursday: 10am - 10pm
Friday: 10am - 10pm
Saturday: 10am - 10pm
Sunday: 10am - 10pm
"
/store-directory/harvey-norman/,"Harvey Norman Superstore from Australia is a leading household name in Singapore, a retail chain in Electronics, Computers, Furniture and Bedding. Harvey Norman carriers a huge range of products ranging from the latest home entertainment systems and computing technology, to the most stylish and innovative home appliances available. We have the largest offering of consumer electronic products to cater to customers from all walks of life. Every week, there will be new deals in-store and consumers can Shop with Confidence with us.",6702 6327,"Monday: 11am - 9:30pm
Tuesday: 11am - 9:30pm
Wednesday: 11am - 9:30pm
Thursday: 11am - 9:30pm
Friday: 11am - 9:30pm
Saturday: 11am - 9:30pm
Sunday: 11am - 9:30pm
"
/store-directory/harvey-norman2/,"Harvey Norman Superstore from Australia is a leading household name in Singapore, a retail chain in Electronics, Computers, Furniture and Bedding. Harvey Norman carriers a huge range of products ranging from the latest home entertainment systems and computing technology, to the most stylish and innovative home appliances available. We have the largest offering of consumer electronic products to cater to customers from all walks of life. Every week, there will be new deals in-store and consumers can Shop with Confidence with us.",6702 6327,"Monday: 11am - 9:30pm
Tuesday: 11am - 9:30pm
Wednesday: 11am - 9:30pm
Thursday: 11am - 9:30pm
Friday: 11am - 9:30pm
Saturday: 11am - 9:30pm
Sunday: 11am - 9:30pm
"
/store-directory/hearing-partners/,"Hearing Partners is one of Singapore’s leading hearing care professional. We offer the highest standards of hearing healthcare in Asia. Treating hearing loss is more than just science, it’s also an art. That is why in every patient that we see, we are not only providing technically accurate hearing evaluations and hearing aid prescription, but also the most satisfying patient care experience as well.

To view the full list of services, visit our website

here

.",6346 2282,"Monday: 2pm - 6pm
Tuesday: 10am - 6pm
Wednesday: 10am - 6pm
Thursday: 10am - 6pm
Friday: 10am - 6pm
Saturday: 10am - 6pm
Sunday: Closed
"
/store-directory/heart-to-heart-jewellery/,"Heart to Heart Jewellery specialize in Forever Love Moissanite engagement ring, wedding bands, customization and bespoke jewellery.",NIL,"Monday: 11am - 8pm
Tuesday: 11am - 8pm
Wednesday: 11am - 8pm
Thursday: 11am - 8pm
Friday: 11am - 8pm
Saturday: 11am - 8pm
Sunday: 11am - 8pm
"
/store-directory/helen/,"HELEN by Helen Accessories belief that within every woman lies a beautiful personality waiting to be discovered

HELEN by Helen Accessories belief that within every woman lies a beautiful personality waiting to be discovered, we do offer a wide range of fashionable accessories to cultivate a love of dressing up in every woman and inspire them to enhance their charm through accessorizing.",6345 1630,"Monday: 10:30am - 9:30pm
Tuesday: 10:30am - 9:30pm
Wednesday: 10:30am - 9:30pm
Thursday: 10:30am - 9:30pm
Friday: 10:30am - 9:30pm
Saturday: 10:30am - 9:30pm
Sunday: 10:30am - 9:30pm
"
/store-directory/hokkaido-baked-cheese-tart/,"The irresistible Hokkaido Baked Cheese Tarts, soft with a creamy centre is made with a blend of three different types of specialty cheeses, piped into a crunchy shortcrust pastry base. Tasting best when it is right out of the oven, it also taste awesome when chilled and frozen, giving you a smooth and refreshing experience. Apart from the delicious original flavour, we now have the decadent chocolate and the King of Fruits, Durian. Hurry and get yours today!",NIL,"Monday: 10am - 10pm
Tuesday: 10am - 10pm
Wednesday: 10am - 10pm
Thursday: 10am - 10pm
Friday: 10am - 10pm
Saturday: 10am - 10pm
Sunday: 10am - 10pm
"
/store-directory/holland-and-barrett/,"Holland & Barrett is the United Kingdom's leading retailer of Vitamins, Minerals, and Herbal Supplements, with over 700 stores in the United Kingdom and Ireland. Our mission statement is to deliver the highest quality nutritional supplements and health foods at the best value to our customers.",6348 7996,"Monday: 11am - 9:30pm
Tuesday: 11am - 9:30pm
Wednesday: 11am - 9:30pm
Thursday: 11am - 9:30pm
Friday: 11am - 9:30pm
Saturday: 10am - 10pm
Sunday: 10am - 10pm
"
/store-directory/home-and-giving/,Home & Giving is a homeowner’s dream destination – accentuate your home with our unique assortment of products from modern to old world charm,6247 9318 ,"Monday: 11am - 9:30pm
Tuesday: 11am - 9:30pm
Wednesday: 11am - 9:30pm
Thursday: 11am - 9:30pm
Friday: 11am - 9:30pm
Saturday: 11am - 9:30pm
Sunday: 11am - 9:30pm
"
/store-directory/honeyworld/,Singapore's only chain of honey specialty store supplying a wide range of honey and bee related items.,6440 5177,"Monday: 10am - 9:30pm
Tuesday: 10am - 9:30pm
Wednesday: 10am - 9:30pm
Thursday: 10am - 9:30pm
Friday: 10am - 9:30pm
Saturday: 10am - 9:30pm
Sunday: 10am - 9:30pm
"
/store-directory/HOOGA/,HOOGA celebrates the simple pleasures everyday through curating items that define home & living.,6025 3508,"Monday: 11am - 10pm
Tuesday: 11am - 10pm
Wednesday: 11am - 10pm
Thursday: 11am - 10pm
Friday: 11am - 10pm
Saturday: 11am - 10pm
Sunday: 11am - 10pm
"
/store-directory/hsbc/,"HSBC Singapore offers a comprehensive range of banking and financial services including retail banking and wealth management; commercial, investment and private banking.",+65 1800-472-2669,"Monday: 9:30am - 5pm
Tuesday: 9:30am - 5pm
Wednesday: 9:30am - 5pm
Thursday: 9:30am - 5pm
Friday: 9:30am - 5pm
Saturday: 9:30am - 12pm
Sunday: Closed
"
/store-directory/hysses/,"Premium holistic aromatherapy for both personal and home spa, integrated with finest natural ingredients.",6440 6861,"Monday: 11am - 9:30pm
Tuesday: 11am - 9:30pm
Wednesday: 11am - 9:30pm
Thursday: 11am - 9:30pm
Friday: 11am - 9:30pm
Saturday: 11am - 9:30pm
Sunday: 11am - 9:30pm
"
/store-directory/ichiban-boshi/,"At Ichiban Boshi, we source the best ingredients directly from Japan and beyond. Through our Japanese expertise, our menu offers something for everyone - from sushi to beloved set meals – all thoughtfully crafted to warm hearts with perfected flavours in a contemporary setting.",6342 1013 ,"Monday: 11:30am - 10:30pm
Tuesday: 11:30am - 10:30pm
Wednesday: 11:30am - 10:30pm
Thursday: 11:30am - 10:30pm
Friday: 11:30am - 10:30pm
Saturday: 11am - 10:30pm
Sunday: 11am - 10:30pm
"
/store-directory/iclaw-taiwan/,iClaw Taiwan is the first Taiwanese-style claw machine shop in Singapore!,9890 0800,"Monday: 10am - 10pm
Tuesday: 10am - 10pm
Wednesday: 10am - 10pm
Thursday: 10am - 10pm
Friday: 10am - 10pm
Saturday: 10am - 10pm
Sunday: 10am - 10pm
"
/store-directory/income-insurance/,"Income Insurance is one of the leading composite insurers in Singapore, offering life, health and general insurance.",NIL,"Monday: 10am - 10pm
Tuesday: 10am - 10pm
Wednesday: 10am - 10pm
Thursday: 10am - 10pm
Friday: 10am - 10pm
Saturday: 10am - 10pm
Sunday: 10am - 10pm
"
/store-directory/indulge-skin--body-lab/,"Indulge Skin & Body Lab firmly believes in getting to the root of customers’ common beauty complaints and ailments by treating the underlying negative health conditions that cause them, rather than merely addressing the symptoms on the surface. To achieve this, they incorporate a combination of both Western science and Traditional Chinese Medicine (TCM) principles, techniques and products to achieve maximum efficacy and bring the best results and satisfaction to all their valued customers.",NIL,"Monday: 10am - 9pm
Tuesday: 10am - 9pm
Wednesday: 10am - 9pm
Thursday: 10am - 9pm
Friday: 10am - 9pm
Saturday: 10am - 9pm
Sunday: 10am - 9pm
"
/store-directory/istudio/,Bringing Apple products closer to your heartland!,6348 2552,"Monday: 10:30am - 9:30pm
Tuesday: 10:30am - 9:30pm
Wednesday: 10:30am - 9:30pm
Thursday: 10:30am - 9:30pm
Friday: 10:30am - 9:30pm
Saturday: 10:30am - 9:30pm
Sunday: 10:30am - 9:30pm
"
/store-directory/iuiga/,"At IUIGA, we bring thoughtfully-designed and premium quality everyday goods to you at completely transparent prices. By working directly with original design manufacturers, we remove traditional middlemen markups. We provide exceptional essentials at a lower cost compared to other premium retailers.",NIL,"Monday: 10am - 10pm
Tuesday: 10am - 10pm
Wednesday: 10am - 10pm
Thursday: 10am - 10pm
Friday: 10am - 10pm
Saturday: 10am - 10pm
Sunday: 10am - 10pm
"
/store-directory/jwardrobe/,Get the latest trends in fashion with J@Wardrobe. Be your fashionable self with their ethnic jewellery or trendy clothes & accessories at affordable prices.,NIL,"Monday: 11am - 9pm
Tuesday: 11am - 9pm
Wednesday: 11am - 9pm
Thursday: 11am - 9pm
Friday: 11am - 9pm
Saturday: 11am - 9pm
Sunday: 11am - 9pm
"
/store-directory/japan-home/,"With more than 47 outlets island-wide, Japan Home is the one-stop provider for all your household needs. With our philosophy of quality without compromise, we pride ourselves in offering a wide range of household products at affordable prices.",6707 0134,"Monday: 10am - 10pm
Tuesday: 10am - 10pm
Wednesday: 10am - 10pm
Thursday: 10am - 10pm
Friday: 10am - 10pm
Saturday: 10am - 10pm
Sunday: 10am - 10pm
"
/store-directory/japan-ipl-express/,"A Unisex IPL Salon with Hair Removal and Skin Solution Services using the latest Japanese-patented technology - ADLight™. Unlike others, Japan IPL allows you to call the shots - with no packages or appointments, giving you the flexibility to visit at your convenience. Customers pay by per-shot basis and you can use the IPL Shots on any areas you want!",NIL,"Monday: 10:30am - 9pm
Tuesday: 10:30am - 9pm
Wednesday: 10:30am - 9pm
Thursday: 10:30am - 9pm
Friday: 10:30am - 9pm
Saturday: 10:30am - 9pm
Sunday: 10:30am - 9pm
"
/store-directory/jean-yip-beauty/,"Jean Yip Salon Pte Ltd was founded by Ms. Jean Yip in 1982. Through her leadership, it has since expanded from a single outlet in Katong Plaza to more than of 60 hairdressing, beauty & slimming outlets today. All the outlets are situated in prime locations all over Singapore. We have also expanded regionally in cities of Malaysia, Indonesia and China. With a strong team of more than 800 creative hairstylists and professional beauty therapists, Jean Yip Group is now Singapore’s leading hair and beauty group. Today, it provides a comprehensive range of hairdressing, beauty and slimming services.

Holding firm to the core values – Trust, Value and Friendliness, Jean Yip Group has embraced the trust from consumers and continues to strive relentlessly to deliver the best service to our customers. Jean Yip Group has also won numerous awards throughout the years. However, the best award and motivation for Jean Yip Group is still our customers’ satisfaction. To achieve our goals in the image enhancing-industry, we aim to offer effective and quality services by employing the latest state-of-the-art technology and superior products to exceed customers’ satisfaction with value-for-money prices at convenient locations. The secret of our success lies in the close relationships of our employees, customers, business partners and our community.",6342 5788,"Monday: 11am - 9pm
Tuesday: 11am - 9pm
Wednesday: 11am - 9pm
Thursday: 11am - 9pm
Friday: 11am - 9pm
Saturday: 10:30am - 7pm
Sunday: 11am - 7pm
"
/store-directory/jollibean/,"Each cup of Jollibean soy milk is chilled via its drink dispenser for fresh, undiluted soymilk and you will be pleased to know that each cup of Jollibean Classic Soy Milk provides you with up to 50% of your daily recommended intake of calcium which supports better bone health.  Freshly prepared at the start of each day, freshness is guaranteed for all Jollibean food products.  Whether you consider it a tasty, healthy quick bite or a delicious food-drink with dessert options, Jollibean and its soy bean products are here to please even the most diverse palates.",6345 6335,"Monday: 7am - 9pm
Tuesday: 7am - 9pm
Wednesday: 7am - 9pm
Thursday: 7am - 9pm
Friday: 7am - 10pm
Saturday: 7am - 10pm
Sunday: 7am - 10pm
"
/store-directory/jolly-eco/,A Singapore homegrown sustainability lifestyle brand that encourages zero-waste living.,8857 1995,"Monday: 11am - 9pm
Tuesday: 11am - 9pm
Wednesday: 11am - 9pm
Thursday: 11am - 9pm
Friday: 11am - 9pm
Saturday: 11am - 9pm
Sunday: 11am - 9pm
"
/store-directory/jon-louis-paris/,"Established in Singapore for over 20 years, Jon Louis is today synonymous with excellent quality leather goods for modern women and men.

Made from 100% genuine leather, the company’s accessories are remarkably durable and with proper care and attention, the brand’s handbags, wallets, belts, backpacks, umbrellas, and other products can retain the quality as long as a decade.

And just as attractive as the designs are the prices—you are bound to get an item that is truly value-for-money and absolutely affordable.",9671 8807,"Monday: 10:30am - 9pm
Tuesday: 10:30am - 9pm
Wednesday: 10:30am - 9pm
Thursday: 10:30am - 9pm
Friday: 10:30am - 9pm
Saturday: 10:30am - 9pm
Sunday: 10:30am - 9pm
"
/store-directory/k-market/,"K-Market is a mini grocery store retailing a variety of typical Korean foods, pre-packed kimchi, teas, seaweeds and other products satisfying the taste buds of Singapore for years.",6440 4989,"Monday: 10:30am - 10pm
Tuesday: 10:30am - 10pm
Wednesday: 10:30am - 10pm
Thursday: 10:30am - 10pm
Friday: 10:30am - 10pm
Saturday: 10:30am - 10pm
Sunday: 10:30am - 10pm
"
/store-directory/kawai-music-school2/,"Kawai Music School offers Piano, Guitar, Violin & Flute Lessons for children and adults.

Music Station Classes - Group Lessons for toddlers from 2 to 5 years old.",6344 1903,"Monday: 11am - 9pm
Tuesday: 11am - 9pm
Wednesday: 11am - 9pm
Thursday: 11am - 9pm
Friday: 11am - 9pm
Saturday: 9am - 8pm
Sunday: 9am - 8pm
"
/store-directory/kawai-music-school/,"Kawai Music School has been offering quality music lessons since 1980, and has gained the reputation of a premium music education centre offering lessons leading to the internationally recognised qualifications from Trinity College London.  This new branch shall be focusing on the growing demand for Rock and Pop lessons, such as Drums, Electric Guitar, Vocal, Ukulele, Keyboards and Bass.  Other complimentary lessons such as Hip Hop, Contemporary, K-Pop dance shall be offered too.",62447883,"Monday: Closed
Tuesday: 11:30am - 9pm
Wednesday: 11:30am - 9pm
Thursday: 11:30am - 9pm
Friday: 11:30am - 9pm
Saturday: 9am - 7pm
Sunday: 9am - 7pm
"
